"Team","Point Spread Rating Points","Point Spread Rating QB","Strength of Schedule To Date","Strength of Schedule Remaining","Projections Avg. Wins","Projections Make Playoffs","Projections Win Division Title","Projections Win Conf Champ","Projections Win Super Bowl"
"LA","5.6548558","5","null","3","11.1301","74.17","41.339999999999996","19.13","12.04"
"SEA","4.910353","3.5","null","5","10.9569","72.00999999999999","36.47","15.2","9.59"
"BUF","4.5244768","7","null","15","10.8238","77.16","57.68","16.14","7.95"
"BLT","3.8744202","7","null","28","10.804","74.14","50.62","13.63","6.29"
"LAC","3.1990595","6.5","null","7","9.889","62.71","34.410000000000004","10.43","4.64"
"GB","2.7989368","4.5","null","12","9.9172","57.18","29.28","9.31","5.319999999999999"
"HST","2.7562687","3.5","null","13","9.8545","62.79","42.089999999999996","10.41","4.26"
"NE","2.6851841","5.5","null","22","9.7694","63.57000000000001","36.95","9.41","4.06"
"DEN","2.5514796","3","null","17","9.77","59.57","32.05","9.43","4.09"
"SF","2.5236415","3.5","null","14","9.8273","55.95","21.560000000000002","8.200000000000001","4.47"
"DET","2.5204835","3.5","null","32","10.6085","65.98","36.35","9.36","5.3"
"PHI","2.5157597","4","null","19","9.9916","60.8","43.769999999999996","9.139999999999999","5.11"
"KC","2.3046737","7","null","20","9.6954","59.69","30.2","8.62","3.53"
"JAX","1.702416","4.5","null","16","9.4427","56.87","35.17","7.42","3.05"
"CHI","1.3292143","2.5","null","8","9.1313","45.9","21.09","6.069999999999999","3.36"
"DAL","1.057099","5.5","null","4","8.8407","44.529999999999994","27.87","5.41","2.79"
"CIN","0.5998468","5.5","null","30","9.3606","53.580000000000005","27.05","5.7299999999999995","2.27"
"MIN","-0.2671574","3.5","null","21","8.4122","35.78","13.28","3.5700000000000003","1.97"
"PIT","-0.6175708","1.5","null","23","8.2846","39.57","17.47","3.84","1.4500000000000002"
"TB","-0.6885694","3.5","null","18","8.3213","42.5","34.43","4.109999999999999","2.01"
"WAS","-1.2436056","3","null","6","7.6649","29.060000000000002","15.58","2.77","1.41"
"IND","-1.5671268","2","null","26","7.7246","32.16","15.36","2.35","0.75"
"NYG","-2.1190252","1.5","null","9","7.3589","24.08","12.78","1.78","0.84"
"ATL","-2.443829","2.5","null","25","7.3564","30.8","22.52","2.21","1.01"
"CAR","-2.7092207","1.5","null","11","7.0068","25.840000000000003","18.94","1.76","0.84"
"NO","-2.9930409","1","null","31","7.652","32.22","24.11","1.8599999999999999","0.74"
"TEN","-4.2556003","1.5","null","24","6.3745","17.599999999999998","7.380000000000001","0.8200000000000001","0.31"
"LV","-4.9243268","1.5","null","10","5.8299","11.899999999999999","3.34","0.54","0.16"
"CLV","-5.3865309","0","null","29","6.0749","14.21","4.859999999999999","0.64","0.13999999999999999"
"NYJ","-6.3697398","3","null","27","5.4403","9.67","3.71","0.38999999999999996","0.09"
"ARZ","-6.9979496","1.5","null","1","4.3312","3.2","0.63","0.12","0.08"
"MIA","-7.3635765","2","null","2","4.3545","4.81","1.66","0.2","0.08"
