season,week,team_abbr,sic_score,source_note
2026,1,ARI,0,Sports Injury Central
2026,1,ATL,0,Sports Injury Central
2026,1,BAL,0,Sports Injury Central
2026,1,BUF,0,Sports Injury Central
2026,1,CAR,0,Sports Injury Central
2026,1,CHI,0,Sports Injury Central
2026,1,CIN,0,Sports Injury Central
2026,1,CLE,0,Sports Injury Central
2026,1,DAL,0,Sports Injury Central
2026,1,DEN,0,Sports Injury Central
2026,1,DET,0,Sports Injury Central
2026,1,GB,0,Sports Injury Central
2026,1,HOU,0,Sports Injury Central
2026,1,IND,0,Sports Injury Central
2026,1,JAX,0,Sports Injury Central
2026,1,KC,0,Sports Injury Central
2026,1,LA,0,Sports Injury Central
2026,1,LAC,0,Sports Injury Central
2026,1,LV,0,Sports Injury Central
2026,1,MIA,0,Sports Injury Central
2026,1,MIN,0,Sports Injury Central
2026,1,NE,0,Sports Injury Central
2026,1,NO,0,Sports Injury Central
2026,1,NYG,0,Sports Injury Central
2026,1,NYJ,0,Sports Injury Central
2026,1,PHI,0,Sports Injury Central
2026,1,PIT,0,Sports Injury Central
2026,1,SEA,0,Sports Injury Central
2026,1,SF,0,Sports Injury Central
2026,1,TB,0,Sports Injury Central
2026,1,TEN,0,Sports Injury Central
2026,1,WAS,0,Sports Injury Central
