team_id,alias,normalized_alias,provider_name,alias_type,priority,active,notes
ari,ari,ari,,common,1,true,Canonical lowercase abbreviation
ari,ARI,ari,,abbreviation,1,true,Canonical uppercase abbreviation
ari,Arizona Cardinals,arizonacardinals,,full_name,1,true,Full team name
ari,Arizona,arizona,,city,1,true,City name
ari,Cardinals,cardinals,,nickname,1,true,Nickname
ari,AZ,az,,abbreviation,1,true,Alternative abbreviation
ari,Ariz,ariz,,historical,1,true,Historical abbreviation
atl,atl,atl,,common,1,true,Canonical lowercase abbreviation
atl,ATL,atl,,abbreviation,1,true,Canonical uppercase abbreviation
atl,Atlanta Falcons,atlantafalcons,,full_name,1,true,Full team name
atl,Atlanta,atlanta,,city,1,true,City name
atl,Falcons,falcons,,nickname,1,true,Nickname
bal,bal,bal,,common,1,true,Canonical lowercase abbreviation
bal,BAL,bal,,abbreviation,1,true,Canonical uppercase abbreviation
bal,Baltimore Ravens,baltimoreravens,,full_name,1,true,Full team name
bal,Baltimore,baltimore,,city,1,true,City name
bal,Ravens,ravens,,nickname,1,true,Nickname
buf,buf,buf,,common,1,true,Canonical lowercase abbreviation
buf,BUF,buf,,abbreviation,1,true,Canonical uppercase abbreviation
buf,Buffalo Bills,buffalobills,,full_name,1,true,Full team name
buf,Buffalo,buffalo,,city,1,true,City name
buf,Bills,bills,,nickname,1,true,Nickname
car,car,car,,common,1,true,Canonical lowercase abbreviation
car,CAR,car,,abbreviation,1,true,Canonical uppercase abbreviation
car,Carolina Panthers,carolinapanthers,,full_name,1,true,Full team name
car,Carolina,carolina,,city,1,true,City name
car,Panthers,panthers,,nickname,1,true,Nickname
chi,chi,chi,,common,1,true,Canonical lowercase abbreviation
chi,CHI,chi,,abbreviation,1,true,Canonical uppercase abbreviation
chi,Chicago Bears,chicagobears,,full_name,1,true,Full team name
chi,Chicago,chicago,,city,1,true,City name
chi,Bears,bears,,nickname,1,true,Nickname
cin,cin,cin,,common,1,true,Canonical lowercase abbreviation
cin,CIN,cin,,abbreviation,1,true,Canonical uppercase abbreviation
cin,Cincinnati Bengals,cincinnatibengals,,full_name,1,true,Full team name
cin,Cincinnati,cincinnati,,city,1,true,City name
cin,Bengals,bengals,,nickname,1,true,Nickname
cle,cle,cle,,common,1,true,Canonical lowercase abbreviation
cle,CLE,cle,,abbreviation,1,true,Canonical uppercase abbreviation
cle,Cleveland Browns,clevelandbrowns,,full_name,1,true,Full team name
cle,Cleveland,cleveland,,city,1,true,City name
cle,Browns,browns,,nickname,1,true,Nickname
dal,dal,dal,,common,1,true,Canonical lowercase abbreviation
dal,DAL,dal,,abbreviation,1,true,Canonical uppercase abbreviation
dal,Dallas Cowboys,dallascowboys,,full_name,1,true,Full team name
dal,Dallas,dallas,,city,1,true,City name
dal,Cowboys,cowboys,,nickname,1,true,Nickname
den,den,den,,common,1,true,Canonical lowercase abbreviation
den,DEN,den,,abbreviation,1,true,Canonical uppercase abbreviation
den,Denver Broncos,denverbroncos,,full_name,1,true,Full team name
den,Denver,denver,,city,1,true,City name
den,Broncos,broncos,,nickname,1,true,Nickname
det,det,det,,common,1,true,Canonical lowercase abbreviation
det,DET,det,,abbreviation,1,true,Canonical uppercase abbreviation
det,Detroit Lions,detroitlions,,full_name,1,true,Full team name
det,Detroit,detroit,,city,1,true,City name
det,Lions,lions,,nickname,1,true,Nickname
gb,gb,gb,,common,1,true,Canonical lowercase abbreviation
gb,GB,gb,,abbreviation,1,true,Canonical uppercase abbreviation
gb,Green Bay Packers,greenbaypackers,,full_name,1,true,Full team name
gb,Green Bay,greenbay,,city,1,true,City name
gb,Packers,packers,,nickname,1,true,Nickname
gb,GNB,gnb,,abbreviation,1,true,Alternative abbreviation
hou,hou,hou,,common,1,true,Canonical lowercase abbreviation
hou,HOU,hou,,abbreviation,1,true,Canonical uppercase abbreviation
hou,Houston Texans,houstontexans,,full_name,1,true,Full team name
hou,Houston,houston,,city,1,true,City name
hou,Texans,texans,,nickname,1,true,Nickname
